summary_date,score,score_stay_active,score_move_every_hour,score_meet_daily_targets,score_training_frequency,score_training_volume,score_recovery_time,cal_active,cal_total,daily_movement,inactivity_alerts,steps,non_wear,rest,inactive,low,medium,high,average_met,met_min_inactive,met_min_low,met_min_medium,met_min_high,target_calories,target_km,target_miles,to_target_km,to_target_miles,day_start,day_end,class_5min
2020-01-26,61.0,100.0,95.0,1.0,40.0,48.0,100.0,34,1465,841,1,909,765,474,163,33,5,0,1.15625,2,21,15,0,150,4.0,2.485484,3.1,1.9262501,2020-01-26T04:00:00-08:00,2020-01-27T03:59:59-08:00,222222222222222222222211111111111111122233420000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002200000000000000000000233222123111111111111111111111111111111111111111111112211111111111111111111111111111111111
2020-01-27,68.0,73.0,100.0,25.0,71.0,60.0,100.0,360,1997,8617,0,9922,0,383,588,418,47,4,1.5625,17,247,115,21,250,7.0,4.349597,-2.8,-1.7398388,2020-01-27T04:00:00-08:00,2020-01-28T03:59:59-08:00,111111111111122211122221222322223222222323222322223434222222223333233322222332232222322222233333343323342323222222233333344354432222333332232222233334333332322223332233334333222222223322223333333333322322333321111111111111111111111111111111111111111111321111111111233443222322233322322231
2020-01-28,72.0,61.0,100.0,43.0,71.0,68.0,100.0,257,1822,5978,0,7134,0,487,626,290,28,9,1.40625,12,152,68,54,150,5.0,3.106855,-2.7,-1.6777017,2020-01-28T04:00:00-08:00,2020-01-29T03:59:59-08:00,222222355232222222222221122223323433422322332321111111111112343322222233233433333322333233222222222332233222332332233332332322221223332223222222211112223432232222333323232322323223222223333222222222222222222222323211111111111111111111111111111111111111122111121111111111111111111111111111
2020-01-29,78.0,63.0,100.0,60.0,71.0,74.0,100.0,268,1870,6309,0,7239,0,417,642,344,37,0,1.46875,14,179,104,0,250,7.0,4.349597,-0.3,-0.1864113,2020-01-29T04:00:00-08:00,2020-01-30T03:59:59-08:00,111111111111111111111111323222222222322233322234222233332332232332334323322222222222222332233333333233233333333334333433322433443332233322222222222222222222332222333324222222222222222233333333323233332222222222222222223333321111111111111111111111111111111111111112111112222222111111111111
2020-01-30,82.0,86.0,100.0,60.0,71.0,80.0,100.0,233,1784,5559,0,6463,155,523,462,259,41,0,1.375,13,136,109,0,250,7.0,4.349597,0.5,0.3106855,2020-01-30T04:00:00-08:00,2020-01-31T03:59:59-08:00,111111111111111111111111111111122333222233343222344332222233332223222222322333333322334432332223223332222222232222222232223333322222322223322222224321122223222332223232232232233000000000000000000000000000000033222212332211111111111111111111111111111111111111111111111111111111111111111111
2020-01-31,90.0,78.0,100.0,78.0,96.0,95.0,100.0,387,1961,9771,0,12105,0,531,531,293,80,5,1.53125,12,177,213,27,350,10.0,6.21371,-0.8,-0.4970968,2020-01-31T04:00:00-08:00,2020-02-01T03:59:59-08:00,111111111111111211111111111111111111111223233432222222222222222223222232332332322222222233322322334343333433222222222323333222222332222333322332222222234323343444244333344422334443322233322222243322222235332211111111111111111111111111111111111111111111121122221112232222222111111111111111
2020-02-01,94.0,74.0,100.0,95.0,100.0,97.0,100.0,443,2065,11114,0,12762,32,403,564,340,89,12,1.625,16,194,218,65,300,9.0,5.592339,-3.6,-2.2369356,2020-02-01T04:00:00-08:00,2020-02-02T03:59:59-08:00,111111111111111111111111111111111111232343342200433323333222332222223222222222223323233232232233222332332222000345323323332234343232233432244222344424422332333332223222222222233232322332222222222223334322233323444443333243422222343332422232233311111111111111111111111111111111111111111111
2020-02-02,97.0,89.0,100.0,100.0,100.0,97.0,98.0,371,1950,9288,0,10394,0,536,436,412,51,5,1.5,13,253,118,27,250,7.0,4.349597,-3.0,-1.864113,2020-02-02T04:00:00-08:00,2020-02-03T03:59:59-08:00,111111111111111111111111111111111221221211111222223332332223332223523333333343333333333333333333233444334333333323343333322232233222232224213223433322223343332333233322222223333222223222223333322222233332332111111111111111111112111222222122211111122233222221111111111111111111111111111111
2020-02-03,94.0,74.0,95.0,95.0,100.0,97.0,100.0,228,1791,5356,1,5870,86,481,601,234,33,5,1.40625,15,125,87,26,250,7.0,4.349597,0.6,0.3728226,2020-02-03T04:00:00-08:00,2020-02-04T03:59:59-08:00,111111111111111111111111222232222222232222333322223200000000000000002323332222222244454333332322223332222222233222232222222223332322222222232222223322322222223222222222222222333333333422222333332232333322111111111111111111111111111111111111111111111121111111111111111111111111332222333211
2020-02-04,92.0,59.0,95.0,95.0,100.0,96.0,100.0,265,1840,6519,1,7948,0,456,681,257,43,3,1.4375,14,157,105,18,250,7.0,4.349597,-0.2,-0.1242742,2020-02-04T04:00:00-08:00,2020-02-05T03:59:59-08:00,232222233432122222222211211232223232222221111111111111222223333443422232222232222332222222223222232322223332222333222222322223322222233332322222343344432222222233334434222222222222222233333333322222222322222222222223321111111111111111111111111221111111111111111111111111111111111111111111
